participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.task_rounds_mp,participant.task_rounds_sp,participant.svo_angle,participant.svo_category,participant.progress,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,g_ug_mp_p.1.player.id_in_group,g_ug_mp_p.1.player.role,g_ug_mp_p.1.player.payoff,g_ug_mp_p.1.player.prolificid,g_ug_mp_p.1.player.offer,g_ug_mp_p.1.group.id_in_subsession,g_ug_mp_p.1.subsession.round_number,g_ug_sp_p.1.player.id_in_group,g_ug_sp_p.1.player.role,g_ug_sp_p.1.player.payoff,g_ug_sp_p.1.player.prolificid,g_ug_sp_p.1.player.offer,g_ug_sp_p.1.group.id_in_subsession,g_ug_sp_p.1.subsession.round_number
1,sdagnhif,,0,4,4,g_ug_mp_p,end,2023-11-29 10:50:45.148684,1,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,1,,0.0,61516865ce21baafe6e5584c,2,1,1,,,,,,,
2,8j5a7b3b,,0,4,4,g_ug_mp_p,end,2023-11-29 10:58:56.612073,1,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,2,,0.0,6169d9b7be52699b6e27e47a,3,1,1,,,,,,,
3,tgmlqyw0,,0,0,4,,,,0,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,3,,0.0,,,1,1,,,,,,,
4,00lus2ff,,0,0,4,,,,0,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,4,,0.0,,,1,1,,,,,,,
5,vwldhihc,,0,0,4,,,,0,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,5,,0.0,,,1,1,,,,,,,
6,ho2505qc,,0,0,4,,,,0,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,6,,0.0,,,1,1,,,,,,,
7,72aogqhh,,0,0,4,,,,0,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,7,,0.0,,,1,1,,,,,,,
8,o5v4juta,,0,0,4,,,,0,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,8,,0.0,,,1,1,,,,,,,
9,rrpdetn6,,0,0,4,,,,0,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,9,,0.0,,,1,1,,,,,,,
10,raum2gtp,,0,0,4,,,,0,,,0.0,,,,,,rqu2g2cv,,,,,0,1.0,0.0,g_ug_mp_p,10,,0.0,,,1,1,,,,,,,
