Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6569cf5143982e5bac452bbf,65523cdc14d3ee4af6f64da5,AWAITING REVIEW,2023-12-01T12:19:36.108000Z,2023-12-01T12:36:02.092000Z,,2023-12-01T12:36:03.582928Z,986,CGPQ28BS,0,45,Female,White,Russian Federation,Germany,Russian Federation,Russian,No,DATA_EXPIRED
6569cf5603e9428b5c8efdf4,5e7d0f8da0271f387aa51286,AWAITING REVIEW,2023-12-01T12:19:41.002000Z,2023-12-01T12:34:47.634000Z,,2023-12-01T12:34:48.134437Z,907,CGPQ28BS,234,34,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6569cf6047c01117ee33fda6,61697f832062ac7ba42cff1f,AWAITING REVIEW,2023-12-01T12:20:05.189000Z,2023-12-01T12:45:17.377000Z,,2023-12-01T12:45:17.819161Z,1513,CGPQ28BS,132,29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
6569cf781535619c755d80d1,64e8cee64332459e9a7c893b,AWAITING REVIEW,2023-12-01T12:20:08.256000Z,2023-12-01T12:44:48.341000Z,,2023-12-01T12:44:48.801085Z,1481,CGPQ28BS,57,24,Male,White,Spain,Germany,Spain,Spanish,Yes,Other
6569cf79f133df08d2cfe2ec,655230fde7fef552dd82ec2a,AWAITING REVIEW,2023-12-01T12:20:45.247000Z,2023-12-01T12:48:19.906000Z,,2023-12-01T12:48:20.845260Z,1655,CGPQ28BS,0,27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6569cf8ba493be6e0d565ce2,64f9ea660fe0eabb0ad878ba,AWAITING REVIEW,2023-12-01T12:20:41.381000Z,2023-12-01T12:36:47.470000Z,,2023-12-01T12:36:47.885872Z,967,CGPQ28BS,12,34,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
6569cf8c86ad7fffeabdc2a5,5e9b7a9f14bd72000b930312,AWAITING REVIEW,2023-12-01T12:21:00.064000Z,2023-12-01T12:33:40.117000Z,,2023-12-01T12:33:40.576552Z,761,CGPQ28BS,22,22,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
6569cf97a9986a7eb3afeb55,5f2c5f0fafada410f1c45107,AWAITING REVIEW,2023-12-01T12:20:39.232000Z,2023-12-01T12:31:34.215000Z,,2023-12-01T12:31:34.698916Z,655,CGPQ28BS,423,34,Female,Other,"Venezuela, Bolivarian Republic of",Sweden,"Venezuela, Bolivarian Republic of",Spanish,Yes,Full-Time
6569cf995b31d6314baea84d,6169c0667a27823dc8059c88,AWAITING REVIEW,2023-12-01T12:21:05.833000Z,2023-12-01T12:37:27.853000Z,,2023-12-01T12:37:28.382315Z,983,CGPQ28BS,280,27,Male,White,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Hungarian,DATA_EXPIRED,DATA_EXPIRED
6569cf9cfa88d8d0c2308e53,5dcd750828792003fc23dc39,AWAITING REVIEW,2023-12-01T12:20:57.930000Z,2023-12-01T12:28:58.632000Z,,2023-12-01T12:28:59.044074Z,481,CGPQ28BS,1056,36,Male,White,United Kingdom,Ireland,United Kingdom,English,No,Full-Time
